Gen;Time;Best Score;First Place Generation;Second Place Generation;Third Place Generation
207;1262.796156167984;905.4601313305932;905.4601313305932;879.1990232989347;871.2618616654664
208;1272.912173986435;905.4601313305932;851.8227513413937;814.3354979267731;805.5397497947251
209;1283.274146080017;905.4601313305932;852.7237727111536;800.3061111139241;790.191818765701
210;1293.9852669239044;938.6527822609573;938.6527822609573;799.2510850755767;797.1877033115103
211;1303.6451377868652;938.6527822609573;929.0978631314915;849.8476310946995;838.3406109877158
212;1313.8569149971008;961.4614870217117;961.4614870217117;873.2505518794053;832.7992418359842
213;1323.5672955513;961.4614870217117;820.3408476887839;813.2857914152984;812.2831857406813
214;1333.2137138843536;961.4614870217117;882.5617720985672;840.7190153607659;832.6573937031251
215;1343.1871819496155;961.4614870217117;827.8478518591209;825.4161877414409;816.517860648382
216;1353.1049716472626;961.4614870217117;847.4094571557904;845.7920306628195;841.5779337185344
217;1363.0787642002106;961.4614870217117;893.5045523431778;803.9574439989323;769.0185888608055
218;1373.0771880149841;961.4614870217117;862.9775023870886;821.5347753499575;820.3533676770085
219;1383.0777156352997;961.4614870217117;836.9884571243324;813.5862948528213;797.1138045646616
220;1392.340396642685;961.4614870217117;861.2963660196906;847.8292096769986;844.2974030835155
221;1401.7706685066223;961.4614870217117;866.5450121457808;845.1058175110188;828.026522002976
222;1412.7284770011902;961.4614870217117;842.0350498446153;819.6247236966544;817.0913536665714
223;1422.282972574234;961.4614870217117;914.1614588686194;826.4021030648391;779.5831886576254
224;1432.5096893310547;962.3816164166071;962.3816164166071;857.814451157488;802.8703504921884
225;1442.527991771698;962.3816164166071;871.7146974365434;835.9590953080291;816.9549622904765
226;1453.3151814937592;962.3816164166071;833.1553728041175;829.6475020669048;825.4785757999653
227;1464.8676462173462;962.3816164166071;856.328384700384;802.0682863490194;799.869353861138
228;1477.5038118362427;962.3816164166071;953.6592919378998;920.3139464676442;856.5120235407024
229;1487.698160648346;971.3481056766159;971.3481056766159;873.1132044976615;848.9543947433535
230;1498.2535727024078;971.3481056766159;845.7238126446092;837.074855787278;826.3352483005831
231;1508.8015649318695;971.3481056766159;896.1040306143698;814.382766168369;809.5066725649183
232;1519.8264000415802;971.3481056766159;909.2938882803479;852.7411884993606;831.1091270001443
233;1531.2046644687653;971.3481056766159;901.0759854560218;896.7730799516429;848.5362407770795
234;1541.3191940784454;971.3481056766159;847.9387547038122;816.7214276666118;812.7186009766689
235;1551.1465096473694;971.3481056766159;896.8807458396802;859.4965775064537;830.0811571487236
236;1561.8019876480103;971.3481056766159;908.8677474330838;835.293707631712;817.324564438779
